"QB","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","FFC","Sleeper","AVG"
"1","13","Patrick Mahomes II","KC","12","1","1","1","1","1","1","1.0"
"2","26","Josh Allen","BUF","7","2","2","2","2","2","2","2.0"
"3","37","Kyler Murray","ARI","12","3","4","4","3","3","3","3.4"
"4","40","Lamar Jackson","BAL","8","4","3","3","4","4","4","3.6"
"5","46","Aaron Rodgers","GB","13","5","7","5","5","5","6","5.2"
"6","53","Dak Prescott","DAL","7","6","6","7","7","6","7","6.2"
"7","50","Russell Wilson","SEA","9","7","5","6","6","8","5","6.6"
"8","59","Justin Herbert","LAC","7","8","8","8","8","7","8","8.0"
"9","68","Tom Brady","TB","9","9","9","9","9","9","9","9.0"
"10","81","Matthew Stafford","LAR","11","10","12","10","10","10","10","10.2"
"11","85","Ryan Tannehill","TEN","13","12","11","11","11","11","11","11.2"
"12","96","Jalen Hurts","PHI","14","11","10","12","13","12","12","11.6"
"13","107","Joe Burrow","CIN","10","13","13","13","12","13","13","13.0"
"14","130","Baker Mayfield","CLE","13","14","15","15","15","18","15","15.6"
"15","129","Matt Ryan","ATL","6","18","20","14","14","15","18","16.0"
"16","128","Trevor Lawrence","JAC","7","15","17","17","16","17","14","16.0"
"17","138","Justin Fields","CHI","10","17","25","20","17","16","16","17.6"
"18","150","Kirk Cousins","MIN","7","23","22","16","18","22","20","19.6"
"19","153","Ben Roethlisberger","PIT","7","19","19","18","19","20","23","19.6"
"20","142","Trey Lance","SF","6","20","29","22","20","14","17","20.4"
"21","163","Tua Tagovailoa","MIA","14","16","23","23","22","23","24","21.2"
"22","152","Jameis Winston","N","6 O","21","26","19","24","19","19","22.0"
"23","190","Derek Carr","LV","8","25","21","21","25","","27","23.6"
"24","161","Mac Jones","NE","14","22","18","24","21","25","21","24.0"
"25","168","Ryan Fitzpatrick","WAS","9","24","31","25","23","24","26","24.6"
"26","200","Zach Wilson","NYJ","6","26","27","","27","26","22","26.6"
"27","204","Deshaun Watson","HOU","10","28","24","","31","21","25","28.0"
"28","233","Carson Wentz","IND","14","31","30","","36","27","30","29.4"
"29","329","Teddy Bridgewater","DEN","11","29","16","","35","","91","27.8"
"30","256","Daniel Jones","NYG","10","27","32","","28","","29","29.0"
"31","307","Cam Newton","CAR","13","33","14","","32","","89","26.3"
"32","265","Sam Darnold","CAR","13","32","28","","33","","28","29.8"
"33","327","Jared Goff","DET","9","30","","","34","","88","32.0"
"34","245","Taysom Hill","NO","6","","","","26","","87","31.5"
"35","298","Tyrod Taylor","HOU","10","","","","30","","92","31.5"
"36","286","Drew Lock","DEN","11","","","","29","","122","32.0"
"37","334","Jimmy Garoppolo","SF","6","","","","37","","101","33.5"
"38","","Andy Dalton","CHI","10","","","","","","124","34.0"
"39","382","Marcus Mariota","LV","8","","","","38","","128","38.0"
"40","406","Jordan Love","GB","13","","","","39","","114","39.0"
""
""