"TE","Overall","Player","Team","Bye","MFL","Fantrax","FFC","Sleeper","AVG"
"1","12","Travis Kelce","KC","12","1","1","1","1","1.0"
"2","24","Darren Waller","LV","8","2","2","2","3","2.0"
"3","30","George Kittle","SF","6","3","3","3","2","3.0"
"4","48","Kyle Pitts","ATL","6","4","5","4","4","4.3"
"5","54","Mark Andrews","BAL","8","5","4","5","5","4.7"
"6","65","T.J. Hockenson","DET","9","6","6","6","6","6.0"
"7","82","Logan Thomas","WAS","9 ","8","7","7","11","7.3"
"8","86","Robert Tonyan","GB","13 ","7","10","8","9","8.3"
"9","93","Noah Fant","DEN","11","10","8","10","8","9.3"
"10","100","Dallas Goedert","PHI","14","9","11","11","7","10.3"
"11","101","Rob Gronkowski","TB","9","14","9","9","10","10.7"
"12","114","Tyler Higbee","LAR","11","12","12","12","13","12.0"
"13","113","Mike Gesicki","MIA","14","11","13","13","12","12.3"
"14","137","Jonnu Smith","NE","14","15","15","14","14","14.7"
"15","151","Jared Cook","LAC","7","13","20","16","16","16.3"
"16","172","Hunter Henry","NE","14","","17","15","15","16.0"
"17","173","Zach Ertz","ARI","12","16","16","","19","16.0"
"18","178","Evan Engram","NYG","10","","14","19","21","16.5"
"19","180","Pat Freiermuth","PIT","7","","18","17","17","17.5"
"20","182","Gerald Everett","SEA","9","","19","18","18","18.5"
"21","201","Anthony Firkser","TEN","13","17","24","","27","20.5"
"22","239","O.J. Howard","TB","9","","21","","95","21.0"
"23","246","Jordan Akins","HOU","10","","22","","122","22.0"
"24","212","Austin Hooper","CLE","13","","23","","20","23.0"
"25","263","Chris Herndon IV","MIN","7","","25","","85","25.0"
"26","230","Blake Jarwin","DAL","7","","26","","24","26.0"
"27","232","Adam Trautman","NO","6","","27","","25","27.0"
"28","266","Juwan Johnson","NO","6","","28","","60","28.0"
"29","231","Cole Kmet","CHI","10","","29","","23","29.0"
"30","270","Tim Tebow","","30","","77","30.0"
"31","271","Hayden Hurst","ATL","6","","31","","107","31.0"
"32","272","Dawson Knox","BUF","7","","32","","111","32.0"
"33","273","Jimmy Graham","CHI","10","","33","","128","33.0"
"34","296","Dan Arnold","JAC","7","","34","","92","34.0"
"35","258","Eric Ebron","PIT","7","","35","","26","35.0"
"36","314","Dalton Schultz","DAL","7","","36","","120","36.0"
"37","328","Mo Alie-Cox","IND","14","","37","","130","37.0"
"38","359","C.J. Uzomah","CIN","10","","38","","132","38.0"
"39","373","Stephen Anderson","LAC","7","","39","","","39.0"
"40","374","David Njoku","CLE","13","","40","","104","40.0"
"41","379","Donald Parham Jr.","LAC","7","","41","","81","41.0"
"42","412","Jesper Horsted","CHI","10","","42","","54","42.0"
""
""